X,Y,OBJECTID,park_id,comment,longitude,latitude,feature_ty,map_label,full_path,edit_type,gps_date,last_edited_date,created_user,created_date,last_edited_user,park_name,Feature_Desc,type_id,feature_id,GlobalID,category,facility_name,address,city,zip_code,business_unit,responsibility
1451201.98967172,526785.891233817,2124,089,PARKING LOT-BY PLAYGROUND,-76.5105875,39.11211314,13, , ,"FEATURE ADDITION
",,2016/10/12 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Lake Shore Athletic Complex,,,2095,{DE5F5EC2-544A-4F28-92F4-EBB1FFFED864},PARK,,850 Woods Rd,Pasadena,21122,8360,
1467541.34577248,498950.434109554,2125,038,EXERCISE STATION,-76.45359122,39.03543327,50, , , ,2013/04/16 00:00:00+00,2021/06/23 18:40:33+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Broadneck Park,Exercise Stations,,216624,{93310005-AF16-47BF-9C2E-0E3F5D5FF2A5},PARK,,613 College Pkwy,Annapolis,21409,8411,
1443055.95904781,464281.126479805,2126,093,Parking lot (stone),-76.54040505,38.94061338,13, , , ,,2019/06/03 00:00:00+00,ITVMAN00@AACO,2019/06/03 00:00:00+00,ITVMAN00@AACO,London Town House and Gardens,,,2321,{FB65E7D5-3212-4D57-BB13-CDCF89326F55},PARK,,839 Londontown Rd,Edgewater,21037,8392,
1456639.96829705,443467.15039131,2127,032,FISHING/CARTOP,-76.49305346,38.88326681,47, , , ,2013/04/03 00:00:00+00,2021/03/31 13:17:44+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Beverly Triton Nature Park,Water - Cartop - Chesapeake Bay,232,1188132,{624A24BC-9019-4883-9C30-F6D9031B8F35},PARK,,1202 Triton Beach Rd,Edgewater,21037,8346,
1434980.25144596,520911.92758806,2128,175,EXERCISE STATION,-76.56785481,39.09621038,50, , , ,2013/08/28 00:00:00+00,2021/04/29 15:50:52+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,B and A Trail,,,2627,{630904B4-F9CB-471A-A5F1-2F5AE4191238},PARK,,,,,,
1430286.29626697,528951.832111895,2129,175,WOODEN BENCH,-76.58426475,39.11834463,30, , , ,2013/08/29 00:00:00+00,2015/06/17 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,B and A Trail,,,186347,{D5A650DC-6E67-4CBE-9705-44788AD04646},PARK,,,,,,
1460682.9966283,546345.832428813,2130,008,BENCH,-76.47677922,39.16567195,31, , , ,2013/04/01 00:00:00+00,2016/07/14 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Fort Smallwood Park,,,186348,{B5C253B2-6E07-4B5B-A16B-4604CD37EAAD},PARK,,9500 Fort Smallwood Rd,Pasadena,21122,8321,
1416312.87933198,558742.748907894,2131,019,BIKE RACK,-76.6330929,39.20030221,40, , ,FEATURE ID ADDITION,2013/04/23 00:00:00+00,2019/06/04 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Arundel Hills Park,Bike Rack (near basketball court),,2327,{4DECBE01-940A-4ECF-A064-BF47CCF38A39},PARK,,895 Furnace Branch Rd W,Glen Burnie,21061,8339,
1453680.38760206,463021.615875483,2132,006,Visitor Center,-76.50307631,38.93700232,11,Visitor Center, , ,2013/03/11 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Quiet Waters Park,,,1782,{564B9421-98CE-4666-8A8A-F90DF941D1C7},PARK,Quiet Waters Park - Visitor's Center,600 Quiet Waters Park Rd,Eastport,21403,8241,FMD
1398636.07315022,494650.507998139,2133,124,TARGET,-76.69622051,39.02450814,50, , ,FEATURE ID ADDITION,2013/03/18 00:00:00+00,2021/06/23 18:40:33+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,Patuxent River Greenway - Archers,Archery Range,,216625,{60F53D50-6AC8-47B8-B659-CADB8307A0C8},PARK,,1160 Crain Hwy S,Gambrills,21054,,
